Sample, R1, STROBE, L
39649, 0, 1, 0
39655, 0, 0, 0
39660, 0, 1, 0
39665, 0, 0, 0
39670, 0, 1, 0
39675, 0, 0, 0
39680, 0, 1, 0
39686, 0, 0, 0
39690, 1, 1, 0
39696, 1, 0, 0
39701, 1, 1, 0
39706, 1, 0, 0
39711, 1, 1, 0
39716, 1, 0, 0
39721, 1, 1, 0
39727, 1, 0, 0
39731, 1, 1, 0
39737, 1, 0, 0
39741, 0, 0, 0
39742, 0, 1, 0
39747, 0, 0, 0
39752, 0, 1, 0
39757, 0, 0, 0
39762, 1, 1, 0
39768, 1, 0, 0
39772, 0, 1, 0
39778, 0, 0, 0
39782, 0, 1, 0
39788, 0, 0, 0
39793, 0, 1, 0
39798, 0, 0, 0
39803, 0, 1, 0
39809, 0, 0, 0
39813, 0, 1, 0
39819, 0, 0, 0
39823, 0, 1, 0
39829, 0, 0, 0
39834, 0, 1, 0
39839, 0, 0, 0
39844, 0, 1, 0
39850, 0, 0, 0
39854, 1, 1, 0
39860, 1, 0, 0
39864, 1, 1, 0
39870, 1, 0, 0
39875, 1, 1, 0
39880, 1, 0, 0
39885, 1, 1, 0
39890, 1, 0, 0
39895, 1, 1, 0
39901, 1, 0, 0
39905, 0, 1, 0
39911, 0, 0, 0
39916, 0, 1, 0
39921, 0, 0, 0
39925, 1, 0, 0
39926, 1, 1, 0
39931, 1, 0, 0
39936, 0, 1, 0
39942, 0, 0, 0
39946, 0, 1, 0
39952, 0, 0, 0
39957, 0, 1, 0
39962, 0, 0, 0
39967, 0, 1, 0
39972, 0, 0, 0
39977, 0, 1, 0
39983, 0, 0, 0
39987, 0, 1, 0
39993, 0, 0, 0
39998, 0, 1, 0
40003, 0, 0, 0
40008, 0, 1, 0
40013, 0, 0, 0
40018, 1, 1, 0
40024, 1, 0, 0
40028, 1, 1, 0
40034, 1, 0, 0
40038, 1, 1, 0
40044, 1, 0, 0
40049, 1, 1, 0
40054, 1, 0, 0
40059, 1, 1, 0
40065, 1, 0, 0
40069, 0, 1, 0
40075, 0, 0, 0
40079, 0, 1, 0
40085, 0, 0, 0
40089, 1, 0, 0
40090, 1, 1, 0
40095, 1, 0, 0
40100, 0, 1, 0
40106, 0, 0, 0
40110, 0, 1, 0
40116, 0, 0, 0
40120, 0, 1, 0
40126, 0, 0, 0
40131, 0, 1, 0
40136, 0, 0, 0
40141, 0, 1, 0
40146, 0, 0, 0
40151, 0, 1, 0
40157, 0, 0, 0
40161, 0, 1, 0
40167, 0, 0, 0
40172, 0, 1, 0
40177, 0, 0, 0
40181, 1, 0, 0
40182, 1, 1, 0
40187, 1, 0, 0
40192, 1, 1, 0
40198, 1, 0, 0
40202, 1, 1, 0
40208, 1, 0, 0
40213, 1, 1, 0
40218, 1, 0, 0
40223, 1, 1, 0
40228, 1, 0, 0
40233, 0, 1, 0
40239, 0, 0, 0
40243, 0, 1, 0
40249, 0, 0, 0
40253, 1, 0, 0
40254, 1, 1, 0
40259, 1, 0, 0
40263, 0, 0, 0
40264, 0, 1, 0
40269, 0, 0, 0
40274, 0, 1, 1
40280, 0, 0, 1
40284, 0, 1, 1
40290, 0, 0, 1
40294, 0, 1, 1
40300, 0, 0, 1
40305, 0, 1, 1
40310, 0, 0, 1
40315, 0, 1, 1
40321, 0, 0, 1
40325, 0, 1, 1
40331, 0, 0, 1
40335, 0, 0, 0
40417, 0, 1, 1
40423, 0, 0, 1
40428, 0, 1, 1
40433, 0, 0, 1
40438, 0, 1, 1
40443, 0, 0, 1
40448, 0, 1, 1
40454, 0, 0, 1
40458, 0, 1, 1
40464, 0, 0, 1
40469, 0, 1, 1
40474, 0, 0, 1
40479, 0, 1, 1
40484, 0, 0, 1
40489, 0, 1, 1
40495, 0, 0, 1
40499, 0, 1, 1
40505, 0, 0, 1
40510, 0, 1, 1
40515, 0, 0, 1
40520, 0, 1, 1
40525, 0, 0, 1
40530, 0, 1, 1
40536, 0, 0, 1
40540, 0, 1, 1
40546, 0, 0, 1
40550, 0, 1, 1
40556, 0, 0, 1
40561, 0, 0, 0
40643, 0, 1, 0
40648, 0, 0, 0
40653, 1, 1, 0
40659, 1, 0, 0
40663, 0, 1, 0
40669, 0, 0, 0
40673, 0, 1, 0
40679, 0, 0, 0
40684, 0, 1, 0
40689, 0, 0, 0
40694, 0, 1, 0
40699, 0, 0, 0
40704, 0, 1, 0
40710, 0, 0, 0
40714, 0, 1, 0
40720, 0, 0, 0
40724, 1, 0, 0
40725, 1, 1, 0
40730, 1, 0, 0
40735, 1, 1, 0
40740, 1, 0, 0
40745, 1, 1, 0
40751, 1, 0, 0
40755, 1, 1, 0
40761, 1, 0, 0
40765, 0, 0, 0
40766, 0, 1, 0
40771, 0, 0, 0
40775, 1, 0, 0
40776, 1, 1, 0
40781, 1, 0, 0
40786, 1, 1, 0
40792, 1, 0, 0
40796, 1, 1, 0
40802, 1, 0, 0
40806, 0, 0, 0
40807, 0, 1, 0
40812, 0, 0, 0
40816, 1, 0, 0
40817, 1, 1, 0
40822, 1, 0, 0
40827, 0, 1, 0
40833, 0, 0, 0
40837, 0, 1, 0
40843, 0, 0, 0
40847, 0, 1, 0
40853, 0, 0, 0
40858, 0, 1, 0
40863, 0, 0, 0
40868, 0, 1, 0
40874, 0, 0, 0
40878, 0, 1, 0
40884, 0, 0, 0
40888, 1, 1, 0
40894, 1, 0, 0
40899, 1, 1, 0
40904, 1, 0, 0
40909, 1, 1, 0
40915, 1, 0, 0
40919, 1, 1, 0
40925, 1, 0, 0
40929, 0, 1, 0
40935, 0, 0, 0
40939, 1, 0, 0
40940, 1, 1, 0
40945, 1, 0, 0
40950, 1, 1, 0
40955, 1, 0, 0
40960, 1, 1, 0
40966, 1, 0, 0
40970, 0, 1, 0
40976, 0, 0, 0
40980, 1, 0, 0
40981, 1, 1, 0
40986, 1, 0, 0
40991, 0, 1, 0
40996, 0, 0, 0
41001, 0, 1, 0
41007, 0, 0, 0
41011, 0, 1, 0
41017, 0, 0, 0
41022, 0, 1, 0
41027, 0, 0, 0
41032, 0, 1, 0
41037, 0, 0, 0
41042, 0, 1, 0
41048, 0, 0, 0
41052, 1, 1, 0
41058, 1, 0, 0
41063, 1, 1, 0
41068, 1, 0, 0
41073, 1, 1, 0
41078, 1, 0, 0
41083, 1, 1, 0
41089, 1, 0, 0
41093, 0, 1, 0
41099, 0, 0, 0
41103, 1, 1, 0
41109, 1, 0, 0
41114, 1, 1, 0
41119, 1, 0, 0
41124, 1, 1, 0
41130, 1, 0, 0
41134, 0, 1, 0
41140, 0, 0, 0
41144, 1, 1, 0
41150, 1, 0, 0
41154, 0, 0, 0
41155, 0, 1, 0
41160, 0, 0, 0
41165, 0, 1, 0
41171, 0, 0, 0
41175, 0, 1, 0
41181, 0, 0, 0
41185, 0, 1, 0
41191, 0, 0, 0
41196, 0, 1, 0
41201, 0, 0, 0
41206, 0, 1, 0
41211, 0, 0, 0
41216, 1, 1, 0
41222, 1, 0, 0
41226, 1, 1, 0
41232, 1, 0, 0
41237, 1, 1, 0
41242, 1, 0, 0
41247, 1, 1, 0
41252, 1, 0, 0
41257, 0, 1, 0
41263, 0, 0, 0
41267, 1, 1, 0
41273, 1, 0, 0
41278, 1, 1, 0
41283, 1, 0, 0
41288, 1, 1, 0
41293, 1, 0, 0
41298, 0, 1, 0
41304, 0, 0, 0
41308, 1, 1, 0
41314, 1, 0, 0
41318, 0, 0, 0
41319, 0, 1, 0
41324, 0, 0, 0
41329, 0, 1, 0
41334, 0, 0, 0
41339, 0, 1, 0
41345, 0, 0, 0
41349, 0, 1, 0
41355, 0, 0, 0
41359, 0, 1, 0
41365, 0, 0, 0
41370, 0, 1, 0
41375, 0, 0, 0
41380, 1, 1, 0
41386, 1, 0, 0
41390, 1, 1, 0
41396, 1, 0, 0
41400, 1, 1, 0
41406, 1, 0, 0
41411, 1, 1, 0
41416, 1, 0, 0
41421, 0, 1, 0
41427, 0, 0, 0
41431, 1, 1, 0
41437, 1, 0, 0
41441, 1, 1, 0
41447, 1, 0, 0
41452, 1, 1, 0
41457, 1, 0, 0
41462, 0, 1, 0
41468, 0, 0, 0
41472, 1, 1, 0
41478, 1, 0, 0
41482, 0, 1, 0
41488, 0, 0, 0
41493, 0, 1, 0
41498, 0, 0, 0
41503, 0, 1, 0
41508, 0, 0, 0
41513, 0, 1, 0
