Sample, R1, STROBE, L
490083, 0, 0, 0
490088, 0, 1, 0
490095, 0, 0, 0
490101, 0, 1, 0
490108, 0, 0, 0
490114, 0, 1, 0
490121, 0, 0, 0
490126, 1, 0, 0
490127, 1, 1, 0
490134, 1, 0, 0
490140, 1, 1, 0
490147, 1, 0, 0
490152, 1, 1, 0
490159, 1, 0, 0
490165, 1, 1, 0
490172, 1, 0, 0
490178, 1, 1, 0
490185, 1, 0, 0
490190, 0, 0, 0
490191, 0, 1, 0
490198, 0, 0, 0
490204, 0, 1, 0
490211, 0, 0, 0
490216, 1, 1, 0
490223, 1, 0, 0
490229, 0, 1, 0
490236, 0, 0, 0
490242, 0, 1, 0
490249, 0, 0, 0
490255, 0, 1, 0
490262, 0, 0, 0
490268, 0, 1, 0
490275, 0, 0, 0
490280, 0, 1, 0
490287, 0, 0, 0
490293, 0, 1, 0
490300, 0, 0, 0
490306, 0, 1, 0
490313, 0, 0, 0
490319, 0, 1, 0
490326, 0, 0, 0
490331, 1, 0, 0
490332, 1, 1, 0
490339, 1, 0, 0
490344, 1, 1, 0
490351, 1, 0, 0
490357, 1, 1, 0
490364, 1, 0, 0
490370, 1, 1, 0
490377, 1, 0, 0
490383, 1, 1, 0
490390, 1, 0, 0
490395, 0, 0, 0
490396, 0, 1, 0
490403, 0, 0, 0
490408, 0, 1, 0
490415, 0, 0, 0
490421, 1, 1, 0
490428, 1, 0, 0
490434, 0, 1, 0
490441, 0, 0, 0
490447, 0, 1, 0
490454, 0, 0, 0
490460, 0, 1, 0
490467, 0, 0, 0
490472, 0, 1, 0
490479, 0, 0, 0
490485, 0, 1, 0
490492, 0, 0, 0
490498, 0, 1, 0
490505, 0, 0, 0
490511, 0, 1, 0
490518, 0, 0, 0
490524, 0, 1, 0
490531, 0, 0, 0
490536, 1, 1, 0
490543, 1, 0, 0
490549, 1, 1, 0
490556, 1, 0, 0
490562, 1, 1, 0
490569, 1, 0, 0
490575, 1, 1, 0
490582, 1, 0, 0
490588, 1, 1, 0
490595, 1, 0, 0
490600, 0, 0, 0
490601, 0, 1, 0
490607, 0, 0, 0
490613, 0, 1, 0
490620, 0, 0, 0
490626, 1, 1, 0
490633, 1, 0, 0
490638, 0, 0, 0
490639, 0, 1, 0
490646, 0, 0, 0
490652, 0, 1, 0
490659, 0, 0, 0
490664, 0, 1, 0
490672, 0, 0, 0
490677, 0, 1, 0
490684, 0, 0, 0
490690, 0, 1, 0
490697, 0, 0, 0
490703, 0, 1, 0
490710, 0, 0, 0
490716, 0, 1, 0
490723, 0, 0, 0
490728, 0, 1, 0
490736, 0, 0, 0
490741, 1, 1, 0
490748, 1, 0, 0
490754, 1, 1, 0
490761, 1, 0, 0
490767, 1, 1, 0
490774, 1, 0, 0
490780, 1, 1, 0
490787, 1, 0, 0
490792, 1, 1, 0
490800, 1, 0, 0
490805, 0, 1, 0
490812, 0, 0, 0
490818, 0, 1, 0
490825, 0, 0, 0
490830, 1, 0, 0
490831, 1, 1, 0
490838, 1, 0, 0
490843, 0, 0, 0
490844, 0, 1, 0
490851, 0, 0, 0
490856, 0, 1, 1
490864, 0, 0, 1
490869, 0, 1, 1
490876, 0, 0, 1
490882, 0, 1, 1
490889, 0, 0, 1
490895, 0, 1, 1
490902, 0, 0, 1
490908, 0, 1, 1
490915, 0, 0, 1
490920, 0, 1, 1
490928, 0, 0, 1
490933, 0, 0, 0
491035, 0, 0, 1
491036, 0, 1, 1
491043, 0, 0, 1
491048, 0, 1, 1
491056, 0, 0, 1
491061, 0, 1, 1
491068, 0, 0, 1
491074, 0, 1, 1
491081, 0, 0, 1
491087, 0, 1, 1
491094, 0, 0, 1
491100, 0, 1, 1
491107, 0, 0, 1
491112, 0, 1, 1
491120, 0, 0, 1
491125, 0, 1, 1
491132, 0, 0, 1
491138, 0, 1, 1
491145, 0, 0, 1
491151, 0, 1, 1
491158, 0, 0, 1
491164, 0, 1, 1
491171, 0, 0, 1
491176, 0, 1, 1
491184, 0, 0, 1
491189, 0, 1, 1
491196, 0, 0, 1
491202, 0, 1, 1
491209, 0, 0, 1
491215, 0, 0, 0
491317, 0, 1, 0
491324, 0, 0, 0
491330, 1, 1, 0
491337, 1, 0, 0
491342, 0, 0, 0
491343, 0, 1, 0
491350, 0, 0, 0
491356, 0, 1, 0
491363, 0, 0, 0
491369, 0, 1, 0
491376, 0, 0, 0
491381, 0, 1, 0
491388, 0, 0, 0
491394, 0, 1, 0
